Division/SIC,Description,Link
2037,Frozen Fruits, Fruit Juices, and Vegetables,http://www.osha.gov/pls/imis/sic_manual.display?id=443&tab=description
2038,Frozen Specialties, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=444&tab=description
204,Grain Mill Products,
2041,Flour and Other Grain Mill Products,http://www.osha.gov/pls/imis/sic_manual.display?id=445&tab=description
2043,Cereal Breakfast Foods,http://www.osha.gov/pls/imis/sic_manual.display?id=446&tab=description
2044,Rice Milling,http://www.osha.gov/pls/imis/sic_manual.display?id=447&tab=description
2045,Prepared Flour Mixes and Doughs,http://www.osha.gov/pls/imis/sic_manual.display?id=448&tab=description
2046,Wet Corn Milling,http://www.osha.gov/pls/imis/sic_manual.display?id=449&tab=description
2047,Dog and Cat Food,http://www.osha.gov/pls/imis/sic_manual.display?id=450&tab=description
2048,Prepared Feed and Feed Ingredients for Animals and Fowls, Except Dogs and Cats,http://www.osha.gov/pls/imis/sic_manual.display?id=451&tab=description
205,Bakery Products,
2051,Bread and Other Bakery Products, Except Cookies and Crackers,http://www.osha.gov/pls/imis/sic_manual.display?id=452&tab=description
2052,Cookies and Crackers,http://www.osha.gov/pls/imis/sic_manual.display?id=453&tab=description
2053,Frozen Bakery Products, Except Bread,http://www.osha.gov/pls/imis/sic_manual.display?id=454&tab=description
206,Sugar And Confectionery Products,
2061,Cane Sugar, Except Refining,http://www.osha.gov/pls/imis/sic_manual.display?id=455&tab=description
2062,Cane Sugar Refining,http://www.osha.gov/pls/imis/sic_manual.display?id=456&tab=description
2063,Beet Sugar,http://www.osha.gov/pls/imis/sic_manual.display?id=457&tab=description
2064,Candy and Other Confectionery Products,http://www.osha.gov/pls/imis/sic_manual.display?id=458&tab=description
2066,Chocolate and Cocoa Products,http://www.osha.gov/pls/imis/sic_manual.display?id=459&tab=description
2067,Chewing Gum,http://www.osha.gov/pls/imis/sic_manual.display?id=460&tab=description
2068,Salted and Roasted Nuts and Seeds,http://www.osha.gov/pls/imis/sic_manual.display?id=461&tab=description
207,Fats And Oils,
2074,Cottonseed Oil Mills,http://www.osha.gov/pls/imis/sic_manual.display?id=462&tab=description
2075,Soybean Oil Mills,http://www.osha.gov/pls/imis/sic_manual.display?id=463&tab=description
2076,Vegetable Oil Mills, Except Corn, Cottonseed, and Soybean,http://www.osha.gov/pls/imis/sic_manual.display?id=464&tab=description
2077,Animal and Marine Fats and Oils,http://www.osha.gov/pls/imis/sic_manual.display?id=465&tab=description
2079,Shortening, Table Oils, Margarine, and Other Edible Fats and Oils, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=466&tab=description
208,Beverages,
2082,Malt Beverages,http://www.osha.gov/pls/imis/sic_manual.display?id=467&tab=description
2083,Malt,http://www.osha.gov/pls/imis/sic_manual.display?id=468&tab=description
2084,Wines, Brandy, and Brandy Spirits,http://www.osha.gov/pls/imis/sic_manual.display?id=469&tab=description
2085,Distilled and Blended Liquors,http://www.osha.gov/pls/imis/sic_manual.display?id=470&tab=description
2086,Bottled and Canned Soft Drinks and Carbonated Waters,http://www.osha.gov/pls/imis/sic_manual.display?id=471&tab=description
2087,Flavoring Extracts and Flavoring Syrups, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=472&tab=description
209,Miscellaneous Food Preparations And Kindred,
2091,Canned and Cured Fish and Seafoods,http://www.osha.gov/pls/imis/sic_manual.display?id=473&tab=description
2092,Prepared Fresh or Frozen Fish and Seafoods,http://www.osha.gov/pls/imis/sic_manual.display?id=474&tab=description
2095,Roasted Coffee,http://www.osha.gov/pls/imis/sic_manual.display?id=475&tab=description
2096,Potato Chips, Corn Chips, and Similar Snacks,http://www.osha.gov/pls/imis/sic_manual.display?id=476&tab=description
2097,Manufactured Ice,http://www.osha.gov/pls/imis/sic_manual.display?id=477&tab=description
2098,Macaroni, Spaghetti, Vermicelli, and Noodles,http://www.osha.gov/pls/imis/sic_manual.display?id=478&tab=description
2099,Food Preparations, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=479&tab=description
21,Tobacco Products,http://www.osha.gov/pls/imis/sic_manual.display?id=14&tab=group
211,Cigarettes,
2111,Cigarettes,http://www.osha.gov/pls/imis/sic_manual.display?id=480&tab=description
212,Cigars,
2121,Cigars,http://www.osha.gov/pls/imis/sic_manual.display?id=481&tab=description
213,Chewing And Smoking Tobacco And Snuff,
2131,Chewing and Smoking Tobacco and Snuff,http://www.osha.gov/pls/imis/sic_manual.display?id=482&tab=description
214,Tobacco Stemming And Redrying,
2141,Tobacco Stemming and Redrying,http://www.osha.gov/pls/imis/sic_manual.display?id=483&tab=description
22,Textile Mill Products,http://www.osha.gov/pls/imis/sic_manual.display?id=15&tab=group
221,Broadwoven Fabric Mills, Cotton,
2211,Broadwoven Fabric Mills, Cotton,http://www.osha.gov/pls/imis/sic_manual.display?id=1002&tab=description
222,Broadwoven Fabric Mills, Manmade Fiber And Silk,
2221,Broadwoven Fabric Mills, Manmade Fiber and Silk,http://www.osha.gov/pls/imis/sic_manual.display?id=485&tab=description
223,Broadwoven Fabric Mills, Wool (including Dyeing and Finishing),
2231,Broadwoven Fabric Mills, Wool (Including Dyeing and Finishing),http://www.osha.gov/pls/imis/sic_manual.display?id=486&tab=description
224,Narrow Fabric And Other Smallwares Mills, Cotton, Wool, Silk, and Manmade Fiber,
2241,Narrow Fabric and Other Smallware Mills: Cotton, Wool, Silk, and Manmade Fiber,http://www.osha.gov/pls/imis/sic_manual.display?id=487&tab=description
225,Knitting Mills,
2251,Women's Full-Length and Knee-Length Hosiery, Except Socks,http://www.osha.gov/pls/imis/sic_manual.display?id=488&tab=description
2252,Hosiery, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=489&tab=description
2253,Knit Outerwear Mills,http://www.osha.gov/pls/imis/sic_manual.display?id=490&tab=description
2254,Knit Underwear and Nightwear Mills,http://www.osha.gov/pls/imis/sic_manual.display?id=491&tab=description
2257,Weft Knit Fabric Mills,http://www.osha.gov/pls/imis/sic_manual.display?id=492&tab=description
2258,Lace and Warp Knit Fabric Mills,http://www.osha.gov/pls/imis/sic_manual.display?id=493&tab=description
2259,Knitting Mills, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=494&tab=description
226,Dyeing And Finishing Textiles, Except Wool Fabrics,
2261,Finishers of Broadwoven Fabrics of Cotton,http://www.osha.gov/pls/imis/sic_manual.display?id=495&tab=description
2262,Finishers of Broadwoven Fabrics of Manmade Fiber and Silk,http://www.osha.gov/pls/imis/sic_manual.display?id=496&tab=description
2269,Finishers of Textiles, Not elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=497&tab=description
227,Carpets And Rugs,
2273,Carpets and Rugs,http://www.osha.gov/pls/imis/sic_manual.display?id=498&tab=description
228,Yarn And Thread Mills,
2281,Yarn Spinning Mills,http://www.osha.gov/pls/imis/sic_manual.display?id=499&tab=description
2282,Yarn Texturizing, Throwing, Twisting, and Winding Mills,http://www.osha.gov/pls/imis/sic_manual.display?id=500&tab=description
2284,Thread Mills,http://www.osha.gov/pls/imis/sic_manual.display?id=501&tab=description
229,Miscellaneous Textile Goods,
2295,Coated Fabrics, Not Rubberized,http://www.osha.gov/pls/imis/sic_manual.display?id=502&tab=description
2296,Tire Cord and Fabrics,http://www.osha.gov/pls/imis/sic_manual.display?id=503&tab=description
2297,Non-woven Fabrics,http://www.osha.gov/pls/imis/sic_manual.display?id=504&tab=description
2298,Cordage and Twine,http://www.osha.gov/pls/imis/sic_manual.display?id=505&tab=description
2299,Textile goods, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=506&tab=description
23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,http://www.osha.gov/pls/imis/sic_manual.display?id=16&tab=group
231,Men&#39;s And Boys&#39; Suits, Coats, And Overcoats,
2311,Men's and Boys' Suits, Coats, and Overcoats,http://www.osha.gov/pls/imis/sic_manual.display?id=507&tab=description
232,Men&#39;s And Boys&#39; Furnishings, Work Clothing, And Allied Garments,
2321,Men's and Boys' Shirts, Except Work Shirts,http://www.osha.gov/pls/imis/sic_manual.display?id=508&tab=description
2322,Men's and Boys' Underwear and Nightwear,http://www.osha.gov/pls/imis/sic_manual.display?id=509&tab=description
2323,Men's and Boys' Neckwear,http://www.osha.gov/pls/imis/sic_manual.display?id=510&tab=description
2325,Men's and Boys' Separate Trousers and Slacks,http://www.osha.gov/pls/imis/sic_manual.display?id=511&tab=description
2326,Men's and Boys' Work Clothing,http://www.osha.gov/pls/imis/sic_manual.display?id=512&tab=description
2329,Men's and Boys' Clothing, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=513&tab=description
233,Women&#39;s, Misses&#39;, And Juniors&#39; Outerwear,
2331,Women's, Misses', and Juniors' Blouses and Shirts,http://www.osha.gov/pls/imis/sic_manual.display?id=514&tab=description
2335,Women's, Misses', and Juniors' Dresses,http://www.osha.gov/pls/imis/sic_manual.display?id=515&tab=description
2337,Women's, Misses', and Juniors' Suits, Skirts, and Coats,http://www.osha.gov/pls/imis/sic_manual.display?id=516&tab=description
2339,Women's, Misses', and Juniors' Outerwear, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=517&tab=description
234,Women&#39;s, Misses&#39;, Children&#39;s, And Infants&#39;,
2341,Women's, Misses', Children's, and Infants' Underwear and Nightwear,http://www.osha.gov/pls/imis/sic_manual.display?id=518&tab=description
2342,Brassieres, Girdles, and Allied Garments,http://www.osha.gov/pls/imis/sic_manual.display?id=519&tab=description
235,Hats, Caps, And Millinery,
2353,Hats, Caps, and Millinery,http://www.osha.gov/pls/imis/sic_manual.display?id=520&tab=description
236,Girls&#39;, Children&#39;s, And Infants&#39; Outerwear,
2361,Girls', Children's, and Infants' Dresses, Blouses, and Shirts,http://www.osha.gov/pls/imis/sic_manual.display?id=521&tab=description
2369,Girls', Children's, and Infants' Outerwear, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=522&tab=description
237,Fur Goods,
2371,Fur Goods,http://www.osha.gov/pls/imis/sic_manual.display?id=523&tab=description
238,Miscellaneous Apparel And Accessories,
2381,Dress and Work Gloves, Except Knit and All-Leather,http://www.osha.gov/pls/imis/sic_manual.display?id=524&tab=description
2384,Robes and Dressing Gowns,http://www.osha.gov/pls/imis/sic_manual.display?id=525&tab=description
2385,Waterproof Outerwear,http://www.osha.gov/pls/imis/sic_manual.display?id=526&tab=description
2386,Leather and Sheep-Lined Clothing,http://www.osha.gov/pls/imis/sic_manual.display?id=527&tab=description
2387,Apparel belts,http://www.osha.gov/pls/imis/sic_manual.display?id=528&tab=description
2389,Apparel and Accessories, Not Elsewhere Classified,http://www.osha.gov/pls/imis/sic_manual.display?id=529&tab=description
239,Miscellaneous Fabricated Textile Products,
2391,Curtains and Draperies,http://www.osha.gov/pls/imis/sic_manual.display?id=530&tab=description
2392,House furnishing, Except Curtains and Draperies,http://www.osha.gov/pls/imis/sic_manual.display?id=531&tab=description
2393,Textile Bags,http://www.osha.gov/pls/imis/sic_manual.display?id=532&tab=description
2394,Canvas and Related Products,http://www.osha.gov/pls/imis/sic_manual.display?id=533&tab=description
2395,Pleating, Decorative and Novelty Stitching, and Tucking for the Trade,http://www.osha.gov/pls/imis/sic_manual.display?id=534&tab=description
